manufacturer_code,horizon,worklist_rows
185b66d4-b9f0-48b3-a98d-2bd3270c6c88,H12,15
185b66d4-b9f0-48b3-a98d-2bd3270c6c88,H3,77
185b66d4-b9f0-48b3-a98d-2bd3270c6c88,H6,81
1D93E15EBB9B4F14A1C18E0CD1750A0A,H12,300
1D93E15EBB9B4F14A1C18E0CD1750A0A,H3,1050
1D93E15EBB9B4F14A1C18E0CD1750A0A,H6,900
263F9947B4FA4F8DB61C9FF48D5A942A,H12,300
263F9947B4FA4F8DB61C9FF48D5A942A,H3,1050
263F9947B4FA4F8DB61C9FF48D5A942A,H6,900
3fc2389a-d9f9-4933-a714-f9c877f0f86f,H12,61
3fc2389a-d9f9-4933-a714-f9c877f0f86f,H3,145
3fc2389a-d9f9-4933-a714-f9c877f0f86f,H6,149
43B3F24E6895475BA3EA1CD00FA74CE0,H12,300
43B3F24E6895475BA3EA1CD00FA74CE0,H3,1050
43B3F24E6895475BA3EA1CD00FA74CE0,H6,900
60acf15d-1fe8-42b7-a8e3-b2a4d2780239,H12,300
60acf15d-1fe8-42b7-a8e3-b2a4d2780239,H3,650
60acf15d-1fe8-42b7-a8e3-b2a4d2780239,H6,591
7de4fd63-eac3-4347-87c4-3bd90dbf08bd,H12,134
7de4fd63-eac3-4347-87c4-3bd90dbf08bd,H3,358
7de4fd63-eac3-4347-87c4-3bd90dbf08bd,H6,413
9701EFF559DF4862AF18CF0DC1B6962D,H12,300
9701EFF559DF4862AF18CF0DC1B6962D,H3,1050
9701EFF559DF4862AF18CF0DC1B6962D,H6,900
C458C50660B24C6B96A91FEBAAE8E5C8,H12,300
C458C50660B24C6B96A91FEBAAE8E5C8,H3,1050
C458C50660B24C6B96A91FEBAAE8E5C8,H6,900
DFC52F4CCF384D849D053242EA2935F3,H12,300
DFC52F4CCF384D849D053242EA2935F3,H3,1050
DFC52F4CCF384D849D053242EA2935F3,H6,900
E50FC20840554CF79ACAEF2582AE63BD,H12,253
E50FC20840554CF79ACAEF2582AE63BD,H3,834
E50FC20840554CF79ACAEF2582AE63BD,H6,740
F9BDA11C2EE443F49615B9AD6AFBD4AA,H12,179
F9BDA11C2EE443F49615B9AD6AFBD4AA,H3,589
F9BDA11C2EE443F49615B9AD6AFBD4AA,H6,526
a8d2322d-61a4-481e-b95e-34a1533c5c12,H12,113
a8d2322d-61a4-481e-b95e-34a1533c5c12,H3,344
a8d2322d-61a4-481e-b95e-34a1533c5c12,H6,304
